Original Treatment					Original Dosage			New Treatment 							New Dosage
AMOXICILLIN (LIQUID)				N/A						AMOXICILLIN								250MG/5ML
AMOXICILLIN (LIQUID)				BOTTLE					AMOXICILLIN								250MG/5ML
AMOXICILLIN (LIQUID)				125 MG/5ML BOTTLE		AMOXICILLIN								125MG/5ML
AMOXICILLIN (LIQUID)				250 MG/5ML BOTTLE		AMOXICILLIN								250MG/5ML
ASPIRIN								N/A						ASPIRIN									81MG
ATENOLOL							N/A						ATENOLOL								25MG
AVALIDE								300/25 MG				HYDROCHLOROTHIAZIDE; IRBESARTAN			25MG; 300MG
AZITHROMYCIN						N/A						AZITHROMYCIN							250MG
AZITHROMYCIN						200 MG/5 ML BOTTLE		AZITHROMYCIN							200MG BASE/5ML
BACTRIM DS							160/800 MG				SULFAMETHOXAZOLE; TRIMETHOPRIM			800MG; 160MG
BACITRACIN							164/800 MG				SULFAMETHOXAZOLE; TRIMETHOPRIM			800MG; 160MG
BENICAR								N/A						OLMESARTAN MEDOXOMIL					40MG
BENICAR								40/25 MG				HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL	25MG; 40MG
BETOPIC								*						BETAXOLOL HYDROCHLORIDE					0.25% BASE
BISACODYL							N/A						BISACODYL								5MG
CEPHALEXIN							N/A						CEPHALEXIN								500MG BASE
CEPHALEXIN							250 MG/5ML BOTTLE		CEPHALEXIN								250MG BASE/5ML
CEPHALEXIN							BOTTLE					CEPHALEXIN								250MG BASE/5ML
CEPHALEXIN							125 MG/5ML BOTTLE		CEPHALEXIN								125MG BASE/5ML
CHLOROQUINE							500 MG					CHLOROQUINE PHOSPHATE					300MG BASE
CHLORPHENERAMINE					N/A						CHLORPHENIRAMINE MALEATE				4MG
CIPROFLOXACIN						N/A						CIPROFLOXACIN HYDROCHLORIDE				500MG BASE
CITALOPRAM							200 MG					CITALOPRAM HYDROBROMIDE					20MG BASE
CLOTRIMAZOLE						*						CLOTRIMAZOLE							1%
COTRIMOX							BOTTLE					SULFAMETHOXAZOLE; TRIMETHOPRIM			200MG/5ML; 40MG/5ML
DOXYCYCLINE							N/A						DOXYCYCLINE								100MG BASE
DOXYCYCLINE							250 MG					DOXYCYCLINE								100MG BASE
ENALAPRIL							N/A						ENALAPRIL MALEATE						10MG
ERYTHROMYCIN OPTHALMIC OINTMENT		100 MG					ERYTHROMYCIN							0.5%
ERYTHROMYCIN OPTHALMIC OINTMENT		3.5 G TUBE				ERYTHROMYCIN							0.5%
FLUCONAZOLE							N/A						FLUCONAZOLE								150MG
FLUCONAZOLE							TUBE					FLUCONAZOLE								200MG
FLUTICASONE							*						FLUTICASONE PROPIONATE					0.11MG/INH
FOLIC ACID							N/A						FOLIC ACID								1MG
FUROSEMIDE							N/A						FUROSEMIDE								20MG
FUROSEMIDE							10 MG					FUROSEMIDE								10MG
GENTAMICIN							*						GENTAMICIN SULFATE						3MG BASE/ML
GLIPIZIDE							500 MG					GLIPIZIDE								5MG
GRISEOFULVIN						N/A						GRISEOFULVIN							125MG/5ML
HYDROCHLOROTHIAZIDE					N/A						HYDROCHLOROTHIAZIDE						25MG
HYDROCHLOROTHIAZIDE					30 MG					HYDROCHLOROTHIAZIDE						25MG
HYDROCHLOROTHIAZIDE					5 MG					HYDROCHLOROTHIAZIDE						25MG
IBUPROPHEN							N/A						IBUPROFEN								200MG
IBUPROPHEN							BOTTLE					IBUPROFEN								400MG/4ML
IBUPROPHEN							2 MG					IBUPROFEN								200MG
IBUPROPHEN							25 MG					IBUPROFEN								200MG
IBUPROPHEN							5 MG					IBUPROFEN								200MG
IRON								N/A						FERROUS SULFATE							325MG
ISOSORBIDE DINITRATE SR				N/A						ISOSORBIDE DINITRATE					20MG
KEFLEX								150 MG					CEPHALEXIN								250MG
LEVAQUIN							N/A						LEVOFLOXACIN							750MG
LISINOPRIL							N/A						LISINOPRIL								20MG
LOPERAMIDE							N/A						LOPERAMIDE HYDROCHLORIDE				2MG
LORATADINE							N/A						LORATADINE								10MG
MELOXICAM							N/A						MELOXICAM								7.5MG
MENTHOL								TUBE					CAMPHOR; MENTHOL; METHYL SALICYLATE		3%; 5%; 10%
METFORMIN							N/A						METFORMIN HYDROCHLORIDE					500MG
METFORMIN							5 MG					METFORMIN HYDROCHLORIDE					500MG
METFORMIN							750 MG					METFORMIN HYDROCHLORIDE					850MG
METRONIDAZOLE						N/A						METRONIDAZOLE							250MG
METRONIDAZOLE						200 MG					METRONIDAZOLE							250MG
MICONAZOLE							*						MICONAZOLE NITRATE						2%
NAPROXEN (ALEVE)					*						NAPROXEN SODIUM; PSEUDOEPHEDRINE HYDROCHLORIDE	220MG BASE; 120MG
NASAL STEROID						*						FLUTICASONE PROPIONATE					0.05MG/SPRAY
STEROID INHALER						*						FLUTICASONE PROPIONATE					0.05MG/INH
NASALCROM							*						CROMOLYN SODIUM							5.2MG/SPRAY
NYSTATIN							*						NYSTATIN								100,000 UNITS/GM
OLMESARTAN MEDOXOMIL				*						HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL	12.5MG; 40MG
OMNICEF								BOTTLE					CEFDINIR								125MG/5ML
PHENYTOIN SODIUM					N/A						PHENYTOIN SODIUM						100MG
PREVACID							150 MG					LANSOPRAZOLE							15MG
PREVACID							N/A						LANSOPRAZOLE							30MG
PREVACID							30 MG					LANSOPRAZOLE							30MG
PREVACID							15 MG					LANSOPRAZOLE							15MG
PREVACID							20 MG					LANSOPRAZOLE							30MG
PREVACID							15 G TUBE				LANSOPRAZOLE							15MG
PREVACID							30 G TUBE				LANSOPRAZOLE							30MG
PREVACID							40 MG					LANSOPRAZOLE							30MG
PROCHLORPERAZINE					N/A						PROCHLORPERAZINE MALEATE				10MG BASE
PROPOXYPHENE						100/650 MG				ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE	650MG; 100MG
PROTONIX							*						PANTOPRAZOLE SODIUM						40MG
PULMICORT							*						BUDESONIDE								0.032MG/INH
ROBITUSSIN							*						GUAIFENESIN								100MG/5ML
RANITIDINE							75 MG					RANITIDINE HYDROCHLORIDE				75MG BASE
RANITIDINE							*						RANITIDINE HYDROCHLORIDE				150MG BASE
ROCEPHIN							*						CEFTRIAXONE SODIUM						1GM BASE/VIAL
SALBUTAMOL							*						ALBUTEROL								0.09MG/INH
SALINE DROPS						*						SODIUM CHLORIDE							0.65%
SALINE SPRAY						*						SODIUM CHLORIDE							0.9%
SEPTRA								*						SULFAMETHOXAZOLE; TRIMETHOPRIM			800MG; 160MG
TIMOPTIC							*						TIMOLOL									0.25% BASE
TOBRADEX							*						DEXAMETHASONE; TOBRAMYCIN				0.05%; 0.3%
TRIAMCINOLONE						INHALER					TRIAMCINOLONE ACETONIDE					0.055MG/INH
TRIAMCINOLONE						*						TRIAMCINOLONE ACETONIDE					0.1%
TRIMETHOPRIM						*						SULFAMETHOXAZOLE; TRIMETHOPRIM			800MG; 160MG
ZINC								*						ZINC SULFATE							220MG
